FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude,Class
1,6/4/2010,Falcon 9,6104.959412,LEO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B0003,-80.577366,28.5618571,0
2,5/22/2012,Falcon 9,525,LEO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B0005,-80.577366,28.5618571,0
3,3/1/2013,Falcon 9,677,ISS,CCAFS SLC 40,None None,1,False,False,False,,1,0,B0007,-80.577366,28.5618571,0
4,9/29/2013,Falcon 9,500,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1,0,B1003,-120.610829,34.632093,0
5,12/3/2013,Falcon 9,3170,GTO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B1004,-80.577366,28.5618571,0
6,1/6/2014,Falcon 9,3325,GTO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B1005,-80.577366,28.5618571,0
7,4/18/2014,Falcon 9,2296,ISS,CCAFS SLC 40,True Ocean,1,False,False,True,,1,0,B1006,-80.577366,28.5618571,1
8,7/14/2014,Falcon 9,1316,LEO,CCAFS SLC 40,True Ocean,1,False,False,True,,1,0,B1007,-80.577366,28.5618571,1
9,8/5/2014,Falcon 9,4535,GTO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B1008,-80.577366,28.5618571,0
10,9/7/2014,Falcon 9,4428,GTO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B1011,-80.577366,28.5618571,0
11,9/21/2014,Falcon 9,2216,ISS,CCAFS SLC 40,False Ocean,1,False,False,False,,1,0,B1010,-80.577366,28.5618571,0
12,1/10/2015,Falcon 9,2395,ISS,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1012,-80.577366,28.5618571,0
13,2/11/2015,Falcon 9,570,ES-L1,CCAFS SLC 40,True Ocean,1,True,False,True,,1,0,B1013,-80.577366,28.5618571,1
14,4/14/2015,Falcon 9,1898,ISS,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1,0,B1015,-80.577366,28.5618571,0
15,4/27/2015,Falcon 9,4707,GTO,CCAFS SLC 40,None None,1,False,False,False,,1,0,B1016,-80.577366,28.5618571,0
16,6/28/2015,Falcon 9,2477,ISS,CCAFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1018,-80.577366,28.5618571,0
17,12/22/2015,Falcon 9,2034,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1,0,B1019,-80.577366,28.5618571,1
18,1/17/2016,Falcon 9,553,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1,0,B1017,-120.610829,34.632093,0
19,3/4/2016,Falcon 9,5271,GTO,CCAFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1,0,B1020,-80.577366,28.5618571,0
20,4/8/2016,Falcon 9,3136,ISS,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.577366,28.5618571,1
21,5/6/2016,Falcon 9,4696,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1022,-80.577366,28.5618571,1
22,5/27/2016,Falcon 9,3100,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,1,B1023,-80.577366,28.5618571,1
23,7/18/2016,Falcon 9,2257,ISS,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2,1,B1025,-80.577366,28.5618571,1
24,8/14/2016,Falcon 9,4600,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2,0,B1026,-80.577366,28.5618571,1
25,9/1/2016,Falcon 9,5500,GTO,CCAFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571,0
26,1/14/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093,1
27,2/19/2017,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585,1
28,3/16/2017,Falcon 9,5600,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1030,-80.6039558,28.6080585,0
29,3/30/2017,Falcon 9,5300,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585,1
30,5/1/2017,Falcon 9,6104.959412,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585,1
31,5/15/2017,Falcon 9,6070,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1034,-80.6039558,28.6080585,0
32,6/3/2017,Falcon 9,2708,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585,1
33,6/23/2017,Falcon 9,3669,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585,1
34,6/25/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093,1
35,7/5/2017,Falcon 9,6761,GTO,KSC LC 39A,None None,1,False,False,False,,3,0,B1037,-80.6039558,28.6080585,0
36,8/14/2017,Falcon 9,2910,ISS,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585,1
37,8/24/2017,Falcon 9,475,SSO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093,1
38,9/7/2017,Falcon 9,4990,LEO,KSC LC 39A,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585,1
39,10/9/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093,1
40,10/11/2017,Falcon 9,5200,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585,1
41,10/30/2017,Falcon 9,3700,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585,1
42,12/15/2017,Falcon 9,2205,ISS,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571,1
43,12/23/2017,Falcon 9,9600,PO,VAFB SLC 4E,True Ocean,2,True,True,False,,3,1,B1036,-120.610829,34.632093,1
44,1/8/2018,Falcon 9,6104.959412,LEO,CCAFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571,1
45,1/31/2018,Falcon 9,4230,GTO,CCAFS SLC 40,True Ocean,2,True,True,True,,3,1,B1032,-80.577366,28.5618571,1
46,3/6/2018,Falcon 9,6092,GTO,CCAFS SLC 40,None None,1,True,False,True,,4,0,B1044,-80.577366,28.5618571,0
47,3/30/2018,Falcon 9,9600,PO,VAFB SLC 4E,None None,2,True,True,True,,4,1,B1041,-120.610829,34.632093,0
48,4/2/2018,Falcon 9,2760,ISS,CCAFS SLC 40,None None,2,True,True,True,,4,1,B1039,-80.577366,28.5618571,0
49,4/18/2018,Falcon 9,350,HEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571,1
50,5/11/2018,Falcon 9,3750,GTO,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585,1
51,6/4/2018,Falcon 9,5383.85,GTO,CCAFS SLC 40,None None,2,False,True,False,,4,1,B1040,-80.577366,28.5618571,0
52,6/29/2018,Falcon 9,2410,ISS,CCAFS SLC 40,None None,2,False,True,False,,4,1,B1045,-80.577366,28.5618571,0
53,7/22/2018,Falcon 9,7076,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571,1
54,7/25/2018,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093,1
55,8/7/2018,Falcon 9,5800,GTO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571,1
56,9/10/2018,Falcon 9,7060,GTO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1049,-80.577366,28.5618571,1
57,10/8/2018,Falcon 9,2800,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093,1
58,11/15/2018,Falcon 9,3000,GTO,KSC LC 39A,True ASDS,2,True,True,True,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585,1
59,12/3/2018,Falcon 9,4000,SSO,VAFB SLC 4E,True ASDS,3,True,True,True,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093,1
60,12/5/2018,Falcon 9,2573,ISS,CCAFS SLC 40,False RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571,0
61,12/23/2018,Falcon 9,4400,MEO,CCAFS SLC 40,None None,1,False,False,False,,5,0,B1054,-80.577366,28.5618571,0
62,1/11/2019,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,5,B1049,-120.610829,34.632093,1
63,3/2/2019,Falcon 9,12259,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,5,B1051,-80.6039558,28.6080585,1
64,5/4/2019,Falcon 9,2482,ISS,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571,1
65,5/24/2019,Falcon 9,13620,VLEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1049,-80.577366,28.5618571,1
66,6/12/2019,Falcon 9,1425,SSO,VAFB SLC 4E,True RTLS,2,True,True,True,5e9e3032383ecb554034e7c9,5,5,B1051,-120.610829,34.632093,1
67,7/25/2019,Falcon 9,2227.7,ISS,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571,1
68,8/6/2019,Falcon 9,6500,GTO,CCAFS SLC 40,None None,3,False,True,False,,5,2,B1047,-80.577366,28.5618571,0
69,11/11/2019,Falcon 9,15600,VLEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571,1
70,12/5/2019,Falcon 9,5000,ISS,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,3,B1059,-80.577366,28.5618571,1
71,12/17/2019,Falcon 9,6800,GTO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571,1
72,1/7/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1049,-80.577366,28.5618571,1
73,1/19/2020,Falcon 9,6104.959412,SO,KSC LC 39A,None None,4,False,True,False,,5,3,B1046,-80.6039558,28.6080585,0
74,1/29/2020,Falcon 9,15600,VLEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1051,-80.577366,28.5618571,1
75,2/17/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,False ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571,0
76,3/7/2020,Falcon 9,1977,ISS,CCAFS SLC 40,True RTLS,2,True,True,True,5e9e3032383ecb267a34e7c7,5,3,B1059,-80.577366,28.5618571,1
77,3/18/2020,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,5,True,True,True,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585,0
78,4/22/2020,Falcon 9,15400,VLEO,KSC LC 39A,True ASDS,4,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1051,-80.6039558,28.6080585,1
79,5/30/2020,Falcon 9,9525,ISS,KSC LC 39A,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,5,2,B1058,-80.6039558,28.6080585,1
80,6/4/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,5,True,True,True,5e9e3033383ecbb9e534e7cc,5,5,B1049,-80.577366,28.5618571,1
81,6/13/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,3,True,True,True,5e9e3032383ecb6bb234e7ca,5,3,B1059,-80.577366,28.5618571,1
82,6/30/2020,Falcon 9,3880,MEO,CCAFS SLC 40,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,5,2,B1060,-80.577366,28.5618571,1
83,7/20/2020,Falcon 9,6104.959412,GEO,CCAFS SLC 40,True ASDS,2,True,True,True,5e9e3033383ecbb9e534e7cc,5,2,B1058,-80.577366,28.5618571,1
84,8/18/2020,Falcon 9,15400,VLEO,CCAFS SLC 40,True ASDS,6,True,True,True,5e9e3032383ecb6bb234e7ca,5,5,B1049,-80.577366,28.5618571,1
